location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
7700,HOUSE,HOUSE,165000,3,108,1,0,0,1,40,1,120,220,2,0,JUST_RENOVATED
4130,HOUSE,HOUSE,325000,3,131,1,0,0,1,,0,,533,4,0,GOOD
3290,HOUSE,HOUSE,295000,2,,1,0,0,1,,0,,123,2,0,
5030,HOUSE,EXCEPTIONAL_PROPERTY,695000,4,235,1,0,1,1,51,1,700,5784,4,0,GOOD
8200,HOUSE,HOUSE,495000,4,226,0,0,0,1,,1,,500,,0,AS_NEW
5575,HOUSE,HOUSE,175000,3,98,1,0,0,0,,0,,0,2,0,TO_BE_DONE_UP
1050,HOUSE,MIXED_USE_BUILDING,1600000,5,400,1,0,0,1,,0,,155,2,0,GOOD
8420,APARTMENT,APARTMENT,285000,2,77,1,0,0,1,,1,,,,0,AS_NEW
9600,HOUSE,HOUSE,75000,2,150,0,0,0,0,,1,,320,2,0,TO_RENOVATE
5530,HOUSE,VILLA,330000,5,155,1,0,1,0,,1,280,6300,3,0,AS_NEW
1701,HOUSE,MIXED_USE_BUILDING,249000,2,94,0,0,0,0,,0,,0,,0,
8020,HOUSE,HOUSE,320000,3,,1,0,0,0,,1,,217,,0,AS_NEW
8880,HOUSE,HOUSE,358500,3,,1,0,0,0,,0,,379,3,0,AS_NEW
1490,HOUSE,HOUSE,230000,3,110,1,0,0,1,23,0,,187,2,0,TO_BE_DONE_UP
9052,HOUSE,HOUSE,245000,2,160,1,0,0,1,,0,,150,3,0,GOOD
9700,APARTMENT,APARTMENT,249000,2,97,1,0,0,0,,0,,,4,0,GOOD
4550,HOUSE,HOUSE,349000,4,260,0,0,0,1,,1,,8682,4,0,TO_BE_DONE_UP
3001,APARTMENT,KOT,163000,0,19,0,1,0,0,,1,,,,0,
7370,HOUSE,HOUSE,120000,3,134,1,0,0,1,,0,,280,2,0,TO_BE_DONE_UP
7700,HOUSE,HOUSE,99000,2,128,0,0,0,0,,0,,147,2,0,TO_RENOVATE
4520,HOUSE,HOUSE,169000,2,120,1,0,0,1,12,1,180,319,3,0,GOOD
1050,HOUSE,MANSION,575000,4,234,0,0,0,1,14,1,50,100,2,0,TO_RENOVATE
7700,HOUSE,HOUSE,139000,2,90,1,0,0,1,10,1,114,184,2,0,JUST_RENOVATED
3511,HOUSE,HOUSE,180000,5,192,0,0,0,0,,0,,1804,4,0,
1400,HOUSE,HOUSE,182900,1,135,0,0,0,0,,0,,84,2,0,JUST_RENOVATED
6044,HOUSE,HOUSE,215000,3,132,0,0,0,1,10,1,400,497,2,0,
9900,HOUSE,HOUSE,438510,3,231,0,0,0,0,,0,,360,3,0,
4000,HOUSE,APARTMENT_BLOCK,260000,4,185,0,0,0,0,,0,,43,2,0,TO_BE_DONE_UP
1000,APARTMENT,APARTMENT,645000,2,140,0,0,0,1,16,0,,,2,0,AS_NEW
9280,APARTMENT,APARTMENT,225000,2,92,1,0,0,0,,0,,,,0,AS_NEW
8370,APARTMENT,APARTMENT,345000,2,85,1,0,0,1,,0,,,2,0,
9690,HOUSE,HOUSE,249000,2,186,1,1,0,0,,1,,157,3,0,
9300,APARTMENT,APARTMENT,239500,2,91,0,0,0,1,13,1,,,,0,
